Name,유동비율,당좌비율,이자보상비율,고정장기적합률,부채비율,자기자본비율,차입금의존도,차입금비율,현금및현금성자산구성비율,유형자산구성비율,무형자산구성비율,차입부채조달금리(평균),차입부채조달금리(기말),차입부채/영업이익,현금흐름/총자산,현금흐름/총자본,현금흐름/총부채,현금흐름/총차입부채,현금흐름/영업수익,유보율,유보액/총자산,매출총이익률,영업이익률,총자산순이익률,투하자본수익률,EBITDA마진율,당기순이익률,ROA(영업이익),ROE(영업이익),총자산회전율( ROA 유사),총부채회전율,총자본회전율,주가수익비율(PER),주가장부가비율(PBR),주가매출액비율(PSR),매출채권회전율,재고자산회전율,직원수,임원수,신용등급 (채권),최대주주등 보유비율,총자산대비CFPS,감사의견
하나머스트7호스팩,0,0,-2.06469822,0,0.098064908,0.910692977,0.087582081,0.09617081,,,,,,-48.98235723,0,0,0,0,0,16.84181691,0.859650363,,0,0,0,0,0,-0.001788033,-0.001963377,0,0,0,0,0,0,,,1,1,3,19,-0.001788033,적정의견
,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,-0,-0,0,,,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,적정의견
에이치엠씨제4호스팩,0,0,-1.243268338,0,0.172006116,0.853237868,0.143676146,0.168389322,,,,,,-58.65996035,0.000759508,0.000890148,0.005175093,0.005286248,0,18.16298608,0.808712559,,0,0.000759508,0,0,0,-0.002449305,-0.002870601,0,0,0,0,1316.642251,0,,,2,1,3,7,0,적정의견
한화플러스제2호스팩,0,0,-0.447161733,0,0.132398351,0.88308137,0.113713104,0.128768546,,,,,,-31.08066652,-0.002677864,-0.003032409,-0.022903673,-0.023549296,0,17.83776442,0.836203123,,0,-0.002677864,0,0,0,-0.003658644,-0.004143043,0,0,0,-0,-373.4320281,0,,,1,1,3,9,-0.003562747,적정의견
,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
하나금융16호스팩,0,0,-1.488872265,0,0.129209172,0.885575414,0.113133899,0.127751851,,,,,,-53.35525124,-0.000647651,-0.000731334,-0.005660074,-0.005724641,0,17.40565586,0.837461105,,0,-0.000647651,0,0,0,-0.002120389,-0.002394363,0,0,0,-0,-1544.041477,0,,,1,1,3,7,0,적정의견
,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
IBKS제16호스팩,0,0,-0.457612365,0,0.195908162,0.83618461,0.162019242,0.193760134,,,,,,-33.41002849,-0.004112132,-0.004917732,-0.025102231,-0.025380514,0,18.17055718,0.792566441,,0,-0.004112132,0,0,0,-0.004849419,-0.00579946,0,0,0,-0,-243.182873,0,,,1,1,3,6,0,적정의견
,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
이베스트스팩5호,0,0,-1.24777473,0,0.219185546,0.820219697,0.175723487,0.214239535,,,,,,-39.66323754,-0.00135155,-0.00164779,-0.007517786,-0.007691344,0,18.73631215,0.778660784,,0,-0.00135155,0,0,0,-0.004430387,-0.005401464,0,0,0,-0,-739.8913249,0,,,1,2,3,5,-0.004170189,적정의견
키움제6호스팩,0,0,-0.170681349,0,3.352526836,0.229751445,0.743128651,3.234489558,,,,,,-127.572379,-0.005318048,-0.023146963,-0.006904333,-0.007156295,0,13.94995652,0.214383411,,0,-0.005318048,0,0,0,-0.005825153,-0.025354153,0,0,0,-0,-188.0389141,0,,,0,0,0,0,-0.002263431,적정의견
,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
유진스팩6호,0,0,-1.710942667,0,0.184826767,0.844005117,0.151369253,0.179346368,,,,,,-34.88742724,-0.002649706,-0.003139443,-0.016985868,-0.017504916,0,18.1452947,0.799920911,,0,-0.002649706,0,0,0,-0.004338791,-0.005140716,0,0,0,-0,-377.4003574,0,,,3,2,3,7,-0.004333698,적정의견
