Name,총자산대비현금,매출채권회전율,매출총이익률,대손률,총자산대비매출채권,총자산대비금융자산,총자산대비단기금융자산,금융자산수익률,단기금융자산수익률,총자산대비유가증권,유가증권수익률,유형자산감가상각률,총자산대비유형자산,무형자산상각률,총자산대비무형자산,개발비계상비율,재고자산회전율,매출원가율,총자산대비재고,유효이자율,단기유효이자율,총자산대비차입금,역마진여부,단기역마진여부,감사의견
신영증권,0.023683356,0,1,0,0,0,0,0,0,0,0,0.186022104,0.008424564,0.09606739,0.002226404,0.941793443,0,0,0,0,0,0.420423167,0,0,적정의견
유안타증권,0.0508344,0,1,0,0,0,0,0,0,0,0,0.244936419,0.007657916,0.082886749,0.00231714,0.983165846,0,0,0,0,0,0.40617509,0,0,적정의견
미래에셋생명,0.006053562,0,0.971280467,0,0,0,0,0,0,0,0,0.196686489,0.00271586,0,0.001809614,1,0,0.028719533,0,0,0,0.011873068,0,0,적정의견
한화손해보험,0.01771212,0,0.839410698,0,0,0,0,0,0,0,0,0,0.023465778,0,0.003292655,1,0,0.160589302,0,0,0,0.023637782,0,0,적정의견
롯데손해보험,0.013502049,0,0.91883379,0,0,0,0,0,0,0,0,0.123180761,0.004915891,0.398217041,0.001538092,1,0,0.08116621,0,0,0,0.016873946,0,0,적정의견
한국자산신탁,0.189281166,0,0.900854846,0,0,0,0,0,0,0,0,0.750273211,0.002811714,0.208807927,0.002690776,1,0,0.099145154,0,0,0,0.242097337,0,0,적정의견
교보증권,0.011651384,0,1,0,0,0,0,0,0,0,0,0.312973244,0.007306043,0.025791555,0.000708498,0.554352365,0,0,0,0,0,0.306742946,0,0,적정의견
우리기술투자,0.017308729,0,1,0,0,0,0,0,0,0,0,0.161971478,0.001879764,0.035071778,0.000407774,0,0,0,0,0,0,0.003880904,0,0,적정의견
한국토지신탁,0.206675421,0,0.76023595,0,0,0,0,0,0,0,0,0.208212507,0.027136512,0.047459054,0.002404113,0,0,0.23976405,0,6.86762E-05,0,0.283287636,-6.86762E-05,0,적정의견
HDC,0.062786684,7.328946538,0.171348874,0.009404251,0.061226344,0,0.149007886,0,0.042991356,0,0,0.024674782,0.144760704,0.756680068,0.006628724,1,2.692298886,0.828651126,0.13811102,0.022467536,0,0.28679623,-0.022467536,0.042991356,적정의견
SK증권,0.029394988,0,1,0,0,0,0,0,0,0,0,0.905754464,0.004713537,0.10878203,0.007118803,1,0,0,0,0,0,0.555752554,0,0,적정의견
현대차증권,0.054382471,0,1,0,0,0,0,0,0,0,0,0.225254051,0.003832899,0.063635325,0.002981901,0,0,0,0,0,0,0.600682502,0,0,적정의견
아주IB투자,0.07197524,0,1,0,0,0,0,0,0,0,0,0.251216726,0.013536906,0.012948422,0.002521084,0,0,0,0,0,0,0.22786963,0,0,적정의견
제주은행,0.005888931,0,0.697788137,0,0,0,0,0,0,0,0,0.256360815,0.006136908,0.100357952,0.009856407,1,0,0.302211863,0,0,0,0.072364561,0,0,적정의견
이베스트투자증권,0.00499513,0,1,0,0,0,0,0,0,0,0,0.16147922,0.007544415,0.167028379,0.002867218,0,0,0,0,0,0,0.304264102,0,0,적정의견
해성산업,0.036150016,3.997045829,0.161232205,-0.000312514,0.202536686,0,0.004935799,0,0.064866198,0,0,0.010422542,0.391599294,0.074526991,0.116262875,0,5.190041663,0.838767795,0.130831925,0.019482524,0,0.240137771,-0.019482524,0.064866198,적정의견
다올인베스트먼트,0.003871327,0,0.957904716,0,0,0,0,0,0,0,0,0.106003556,0.023729339,0.00295122,0.001982324,0,0,0.042095293,0,0,0,0.014268964,0,0,적정의견
경동인베스트,0.030590314,9.734470648,0.128787714,0,0.053073565,0,0.158612667,0,0.014768616,0,0,0.010216337,0.233317713,0.030489446,0.010162352,0,7.761912587,0.871212286,0.05798903,0.039591202,0,0.108385553,-0.039591202,0.014768616,적정의견
유진투자증권,0.04739563,0,1,0,0,0,0,0,0,0,0,0.17147369,0.011776259,0.154364884,0.003324946,1,0,0,0,0,0,0.420221954,0,0,적정의견
미원홀딩스,0.032732624,7.416146462,0.142165351,0.003662597,0.133127802,0,0.00018166,0,0.881613228,0,0,0.038686309,0.181468137,0.02171314,0.007425531,0,6.086675073,0.857834649,0.139145936,0.018693913,0,0.2068327,-0.018693913,0.881613228,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,적정의견
한국캐피탈,0.093383189,0,1,0,0,0,0,0,0,0,0,0.254731068,0.003402634,0.364912181,0.001577483,0,0,0,0,0,0,0.830953934,0,0,적정의견
미래에셋벤처투자,0.083059978,0,0.40321447,0,0,0,0,0,0,0,0,0.258449225,0.003600279,0.114192758,0.000216868,0,0,0.59678553,0,0,0,0.032449953,0,0,적정의견
흥국화재,0.00656055,0,0.844612888,0,0,0,0,0,0,0,0,0.178213775,0.01001943,0.194095794,0.004752926,1,0,0.155387112,0,0,0,0.027932404,0,0,적정의견
부국증권,0.085127115,0,1,0,0,0,0,0,0,0,0,0.133093433,0.051305796,0.005217587,0.012082496,1,0,0,0,0,0,0.313945175,0,0,적정의견
다올투자증권,0.048707814,0,1,0,0,0,0,0,0,0,0,0.178391988,0.006750717,0.049621532,0.003026433,0.895966937,0,0,0,0,0,0.32230971,0,0,적정의견
SBI인베스트먼트,0.046876218,0,0.837241783,0,0,0,0,0,0,0,0,0.352870863,0.01341743,0,0.017082465,0,0,0.162758217,0,0,0,0.048727269,0,0,적정의견
DB금융투자,0.05683476,0,1,0,0,0,0,0,0,0,0,0.313985565,0.010879906,0.127190352,0.003352339,0,0,0,0,0,0,0.410090773,0,0,적정의견
푸른저축은행,0.065281985,0,0.735678616,0,0,0,0,0,0,0,0,0.419501608,0.023096677,0,0.002770882,0,0,0.264321403,0,0,0,0,0,0,적정의견
글로벌텍스프리,0.299736357,5.474973321,1,0.025298745,0.053598276,0,0.153138062,0,0.012452579,0,0,1.165397354,0.022384253,0.14060411,0.159781409,0,0,0,0.011070037,0.028723827,0,0.110114411,-0.028723827,0.012452579,적정의견
에이티넘인베스트,0.252817522,0,0.998900182,0,0,0,0,0,0,0,0,0.212408129,0.017102309,0,0.018195626,0,0,0.001099818,0,0,0,0,0,0,적정의견
유화증권,0.00024531,0,1,0,0,0,0,0,0,0,0,0.691959209,0.008374565,0.099021611,0.000494841,0,0,0,0,0,0,0.183758667,0,0,적정의견
SV인베스트먼트,0.093075891,0,0.971193911,0,0,0,0,0,0,0,0,0.644535405,0.014687051,0.002448642,0.019200441,0,0,0.028806089,0,0,0,0,0,0,적정의견
DSC인베스트먼트,0.052144915,0,0.835944345,0,0,0,0,0,0,0,0,0.774573125,0.006791887,0,0.003681788,0,0,0.164055655,0,0.001354321,0,0.163932131,-0.001354321,0,적정의견
대성창투,0.204167667,0,0.874989023,0,0,0,0,0,0,0,0,0.660793222,0.004173185,0,0.004367376,0,0,0.125011022,0,0,0,0,0,0,적정의견
한양증권,0.063122971,0,1,0,0,0,0,0,0,0,0,0.211907148,0.012324362,0,0.000790901,0,0,0,0,0,0,0.427503668,0,0,적정의견
에이플러스에셋,0.071236743,16.22789165,1,0.063889757,0.055673688,0,0.268153494,0,0.019836966,0,0,0.530005529,0.125781657,0.099556678,0.023430587,0,0,0,0.002425739,0.026477011,0,0.186665929,-0.026477011,0.019836966,적정의견
엠벤처투자,0.005626652,0,0.516011192,0,0,0,0,0,0,0,0,0.940444202,0.004124823,0,0.002078158,0,0,0.483988808,0,0,0,0.174423233,0,0,적정의견
엔에이치스팩19호,0.00100392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016101367,0,0.132521797,-0.016101367,0,적정의견
CNH,0.043535968,0,1,0,0,0,0,0,0,0,0,0.067364428,0.196562289,0.013405456,0.011304657,0,0,0,0,0.014989314,0,0.6297332,-0.014989314,0,적정의견
컴퍼니케이,0.061828853,0,0.953185366,0,0,0,0,0,0,0,0,0.268906336,0.016847476,0,0.006033156,0,0,0.046814634,0,0.016798057,0,0.04983232,-0.016798057,0,적정의견
상상인증권,0.004621132,0,1,0,0,0,0,0,0,0,0,0.257889982,0.019345112,0.372995223,0.000124706,1,0,0,0,0,0,0.394483605,0,0,적정의견
스톤브릿지벤처스,0.105930838,0,0.992304156,0,0,0,0,0,0,0,0,0.196179813,0.024598743,0.833846883,5.2153E-05,0,0,0.007695844,0,0,0,0,0,0,적정의견
나우IB,0.000387292,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000409713,0,0,0,0,0,0,0.203963839,0,0,적정의견
큐캐피탈,0.059708033,0,1,0,0,0,0,0,0,0,0,0.550065832,0.01337752,0,0.00366754,0,0,0,0,0,0,0.044122338,0,0,적정의견
인카금융서비스,0.021363385,0,0.19179742,0,0,0,0.092784358,0,0.027824666,0,0,0.699257787,0.057634739,0,0.006964685,0,0,0.808202583,0,0.030934601,0,0.128585162,-0.030934601,0.027824666,적정의견
TS인베스트먼트,0.159821461,0,0.871486708,0,0,0,0,0,0,0,0,0.268611687,0.011179858,0.010984051,0.012771712,0,0,0.128513292,0,0,0,0.17407134,0,0,적정의견
컬러레이,0.548279249,3.405812636,0.640175783,-0.001103597,0.066127551,0,0.091750163,0,0.022217578,0,0,0.017979465,0.243781775,0.022694667,0.00895211,0,2.280928089,0.359824199,0.035528917,0.041944737,0,0.062296488,-0.041944737,0.022217578,적정의견
리더스 기술투자,0.049291445,0,-0.084691955,0,0,0,0,0,0,0,0,0.082983815,0.088942373,0.003955642,0.003812679,0,0,1.084691993,0,0.007386298,0,0.170797727,-0.007386298,0,적정의견
윙스풋,0.06749561,8.447672512,0.522286016,-0.000935661,0.143414907,0,0.125159805,0,0.012290543,0,0,0.127831126,0.367705791,0.413235494,0.000179478,0,2.268689285,0.477713984,0.25510813,0.035969652,0,0.444275101,-0.035969652,0.012290543,적정의견
메이슨캐피탈,0.216898778,0,1,0,0,0,0,0,0,0,0,0.895874232,0.004602497,0.588496283,0.002871032,0,0,0,0,0,0,0.148118865,0,0,적정의견
린드먼아시아,0.046097818,0,0.658970737,0,0,0,0,0,0,0,0,0.415664641,0.004384584,0.033790567,0.013000975,0,0,0.341029263,0,0,0,0,0,0,적정의견
밸로프,0.548016254,5.071772633,1,4.34815E-05,0.231876041,0,0.127449949,0,0.01023601,0,0,0.942040292,0.02823125,5.802639849,9.54819E-05,0,0,0,0,0.038612109,0,0.01644887,-0.038612109,0.01023601,적정의견
엔에이치스팩20호,0.009974917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011803615,0,0.082177819,-0.011803615,0,적정의견
코리아에셋투자증권,0.178054451,0,1,0,0,0,0,0,0,0,0,0.385444516,0.018015871,0,0.00621942,0,0,0,0,0,0,0.058489311,0,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
모코엠시스,0.487101941,9.323544299,0.28009425,0,0.186212633,0,0.076544709,0,0.029890836,0,0,0.19901092,0.048273553,0,0.003058435,0,17.33832699,0.71990575,0.072087279,0.026366456,0,0.099690817,-0.026366456,0.029890836,적정의견
삼성스팩4호,0.163113037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017429896,0,0.133055453,-0.017429896,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,적정의견
삼성머스트스팩5호,0.152197656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01474336,0,0.077047536,-0.01474336,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대신밸런스제11호스팩,0.142162968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022123072,0,0.065636813,-0.022123072,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,적정의견
하나금융21호스팩,0.999974517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004859668,0,0.454737608,-0.004859668,0,적정의견
신한제8호스팩,0.151204417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012791911,0,0.084816418,-0.012791911,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,적정의견
엔에이치스팩22호,0.186923925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008957021,0,0.15681335,-0.008957021,0,적정의견
하나금융19호스팩,0.051450599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013277376,0,0.12994434,-0.013277376,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유안타제8호스팩,0.051873564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026024555,0,0.163468539,-0.026024555,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유안타제7호스팩,0.067149142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026024373,0,0.131575804,-0.026024373,0,적정의견
교보10호스팩,0.230409345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020506703,0,0.088339667,-0.020506703,0,적정의견
하나금융15호스팩,0.147842759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02519107,0,0.141283085,-0.02519107,0,적정의견
미래에셋비전스팩1호,0.999969658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001902924,0,0.784655819,-0.001902924,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB금융스팩8호,0.148229128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022108916,0,0.073776289,-0.022108916,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대신밸런스제10호스팩,0.137991297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045551393,0,0.08469865,-0.045551393,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유진스팩8호,0.999999598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265428,0,0.513559696,-0.00265428,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB금융스팩10호,0.999975269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015621284,0,0.413850449,-0.015621284,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한국제10호스팩,0.999987084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003724338,0,0.438465906,-0.003724338,0,적정의견
하이제6호스팩,0.173855788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033771658,0,0.069862419,-0.033771658,0,적정의견
케이비제20호스팩,0.010588568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017681779,0,0.102505574,-0.017681779,0,적정의견
상상인제3호스팩,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000638331,0,0.434812832,-0.000638331,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
미래에셋대우스팩 5호,0.186835457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020088001,0,0.168535661,-0.020088001,0,적정의견
IBKS제13호스팩,0.190038761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019237676,0,0.165015694,-0.019237676,0,적정의견
에이치엠씨제5호스팩,0.169391536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021119704,0,0.167945892,-0.021119704,0,적정의견
하이제7호스팩,0.146559487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012826426,0,0.124813022,-0.012826426,0,적정의견
유진스팩7호,0.000334587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021042668,0,0.086515689,-0.021042668,0,적정의견
에스케이증권7호스팩,0.999984825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005007382,0,0.428825312,-0.005007382,0,적정의견
신영스팩6호,0.13948104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020918175,0,0.141805305,-0.020918175,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB금융스팩9호,0.182377686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022109774,0,0.108416974,-0.022109774,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신한제7호스팩,0.176558451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066578495,0,0.115523604,-0.066578495,0,적정의견
신한제9호스팩,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004526224,0,0.651981554,-0.004526224,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
교보11호스팩,0.221541263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008871833,0,0.196331171,-0.008871833,0,적정의견
하나머스트7호스팩,0.166569934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025754664,0,0.087582081,-0.025754664,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,적정의견
에이치엠씨제4호스팩,0.164628971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021181088,0,0.143676146,-0.021181088,0,적정의견
한화플러스제2호스팩,0.152060186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014387135,0,0.113713104,-0.014387135,0,적정의견
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
