Name,총자산대비현금,산업평균대비현금,매출채권회전율,매출총이익률,대손률,총자산대비매출채권,산업평균대비매출채권,총자산대비유가증권,유가증권수익률,산업평균대비유가증권,유형자산감가상각률,산업평균대비유형자산감가상각률,총자산대비유형자산,산업평균대비유형자산,무형자산상각률,산업평균대비무형자산상각률,총자산대비무형자산,개발비계상비율,산업평균대비무형자산,재고자산회전율,매출원가율,총자산대비재고,산업평균대비재고,유효이자율,총자산대비차입금,산업평균대비차입금,역마진여부,감사의견
창해에탄올,0.026322621,,4.265544476,0.243351585,-0.002149598,0.119662304,,0.029878735,0.039729806,,0.034317841,,0.211641986,,0.000188458,,0.270644467,0,,4.773902801,0.551880016,0.08090072,,0.013278692,0.412692655,,0.026451114,적정의견
광명전기,0.220052711,,5.875870133,0.069155091,0.007615546,0.137303284,,0.183139697,0.012763529,,0.008780141,,0.170484217,,0.01293408,,0.011493078,1,,7.270764296,0.975365768,0.103288121,,0.010339475,0.124039801,,0.002424054,적정의견
SH에너지화학,0.16293171,,6.117042978,0.07104714,0,0.191044311,,0.1800846,0.01388006,,0.007211768,,0.28546128,,0.10963998,,0.017583696,0,,10.53616088,1.041067283,0.10303551,,0.01656956,0.100791498,,-0.002689501,적정의견
에이치엘사이언스,0.02516549,,20.20801816,0.744804466,0,0.04382167,,0.462976657,0.012269551,,0.014092264,,0.301644701,,0.106260934,,0.011406795,0,,4.448219986,0.212707786,0.050804182,,0.064024099,0.00017744,,-0.051754548,적정의견
삼일제약,0.017632077,,4.328808585,0.364911871,0.015370074,0.136977586,,0.049772076,0.011535547,,0.012590721,,0.431648839,,0,,0.005720594,0,,3.526431818,0.676023982,0.10678651,,0.036846272,0.743507721,,-0.025310725,적정의견
고려산업,0.099461271,,6.549276362,0.153368752,0.014872334,0.136620556,,6.27E-05,98.25467914,,0.018749394,,0.295040375,,0.030609208,,0.010715849,0,,5.703451839,0.909103545,0.132820735,,0.01133341,0.736094247,,98.24334573,적정의견
비아트론,0.099419782,,11.90732741,0.319404074,0.284507253,0.035353575,,0.234229107,0.008002974,,0.01368005,,0.17100013,,0,,0.007231807,0,,13.66620264,0.7332278,0.020964722,,0.010596979,0.001428986,,-0.002594005,적정의견
나라엠앤디,0.066434298,,3.362734182,0.114430157,0,0.252834813,,0.002671551,0.2094654,,0.005212767,,0.344322631,,0.231121671,,0.008601498,0.400068423,,2.910608716,0.97880493,0.258683308,,0.01126672,0.533928271,,0.19819868,적정의견
트루윈,0.085596426,,6.628548773,0.334616096,0.019924733,0.051168523,,0.262222876,0.019353043,,0.022322811,,0.315942841,,0.62677721,,0.008147743,0.309725076,,3.377256647,0.740449202,0.066823553,,0.065647264,0.690832569,,-0.04629422,적정의견
티플랙스,0.025616429,,4.183623697,0.121507442,-0.004065424,0.216550756,,0.001982984,0.135354022,,0.002922777,,0.378363655,,0.037186817,,0.002679388,0,,5.014856506,1.10181721,0.158705469,,0.015468729,0.191857451,,0.119885293,적정의견
이지트로닉스,0.220429914,,3.910555751,0.300782739,-0.009472647,0.125029846,,0.002358203,0.413457944,,0.007765125,,0.471523827,,0.12366264,,0.007377237,0,,2.210304434,0.728730682,0.154672186,,0.013268337,0.436902152,,0.400189607,적정의견
신영와코루,0.057234083,,17.82781614,0.6059714,-0.010911692,0.027335799,,0.192414644,0.032041118,,0.097951879,,0.074576119,,0.040783276,,0.014786093,0,,1.317455538,0.41048651,0.14575441,,0.013170877,0.107980373,,0.018870241,적정의견
우수AMS,0.031359601,,8.115360432,0.069162473,0,0.142382207,,0.035395605,0.025885255,,0.013173227,,0.468713614,,0,,0.021938816,0,,8.448145997,1.094496346,0.127313954,,0.018431747,0.658959639,,0.007453507,적정의견
KCI,0.064419377,,4.96299473,0.331145229,-3.78E-06,0.16865528,,0.020746812,0.021448022,,0.00603434,,0.425519827,,0.005942881,,0.026558301,0,,2.122553269,0.728796102,0.263764886,,0.083884185,0.003163312,,-0.062436162,적정의견
삼화전기,0.070255415,,6.472757162,0.190296821,-0.005525086,0.240639911,,0.089669194,0.026765862,,0.012357871,,0.183353898,,0.179805711,,0.007150088,1,,6.269106404,0.935681004,0.201176466,,0.012024982,0.12883581,,0.01474088,적정의견
